Scientific name	Common name(s)	Type	Form	Low Zone Hardiness	High Zone Hardiness	low Soil moisture	high Soil moisture	Native Range	low Sunlight	high Sunlight	Bloom time	fruit time	Needs trellis?	Provides trellis?	Specialist Species hosted by only thisgenus (leave blank if none)	Insect Keystone plant? https://www.nwf.org/Garden-for-Wildlife/About/Native-Plants/keystone-plants-by-ecoregion	Feeds birds?	Feeds small mammals?	Feeds large mammals?	Spready-ness	Nitrogen Fixing?	Edible value?	Calories per plant	parts edible	Disturbance toleration	found in?	Root shape?	Salt Tolerance	Shade Production	Wind Hardiness	Lifespan Average	Soil Type	Soil ph	BTU	Hardness Scale	Rot Resistance
						0 - arid 1 - dry  2 - moist 3 - riparian 4 - emergent 5 - aquatic	0 - arid 1 - dry  2 - moist 3 - riparian 4 - emergent 5 - aquatic		0 - deep shade 1 - bright shade 2 - dappled light 3 - partial sun 4 - partial shade 5 - full sun	0 - deep shade 1 - bright shade 2 - dappled light 3 - partial sun 4 - partial shade 5 - full sun										0 - does not spread 3 - slow   5 - normal   7 - fast   10 - aggressive  	 	0 - toxic or inedible 1 - flavoring or medicinal 2 - famine food 3 - seasonal or ceremonial food 4 - common food 5 - staple crop			0  - sensitive 5 - not fussy 10 - tank, grows in sidewalk		0 - Tap root 1 - Heart root 2 - Flat root	0 - none 1 - mild 2 - moderate 3 - specialist	0 - makes minimal shade 1 - shade plants under 2 -  shades neighbors 3 - densely shades neighbors 4 - dappled canopy 5 - shaded canopy							
Achillea millefolium	Common Yarrow	Herbaceous Perennial	herbacious flower	3	9	0	4	Northern Hemisphere	3	5	Summer		no	no						5	no				8											
Ageratina altissima	white snakeroot																																			
Amphicarpaea bracteata	Hog Peanut	Herbaceous Annual	vine	4	9	2	2	Eastern NA	2	2	Late Summer	Late Fall	yes	no		no	yes	yes	no		yes	3	40	tuber, seeds					0							
Andropogon gerardi	Big bluestem	Herbaceous Perennial	grass	3	9	1	2	Eastern NA	4	5			no	no		no	yes	yes			no								2							
Apios Americana	Hopniss, Groundnut	Herbaceous Perennial	vine	3	10	2	3	Eastern NA	1	5	Summer	Late Summer	yes	no		no	no	no	yes	7	yes	4	195	tuber	7				1							
Arisaema Triphyllum	Jack-in-the-Pulpit	Herbaceous Perennial	herbacious flower	4	8	2	4	Eastern NA	0	2	Early spring	Early Summer	no	no		no																				
Asclepias incarnata	swamp milkweed																																			
asclepius syriaca	common milkweed	Herbaceous Perennial	herbacious flower	3	9	2	2	Eastern NA	5	5			no	no	Danaus plexippus	no	no	no	no		no				6											
Asimina triloba	Paw Paw	Woody Perennial	undestory shrub	5	9	2	4	Eastern NA	0	5	Early spring	Early Fall	no	no	Protographium marcellus		no	yes	yes	7	no	3		fruit	5	Forest edge	0		1							
Carex pensylvanica	pennsylvania sedge	Herbaceous Perennial	grass																																	
Carya ovata	shagbark hickory	Woody Perennial	canopy tree	4	8	1	2	Eastern NA	1	5	Spring	Fall	no	yes		yes	yes	yes			no		124,250	nut					5							
Castanea mollissimi	Chinese Chestnut	Woody Perennial	canopy tree	4	8	1	2	China	4	5	Spring	Fall	no	no			no	yes	yes	5	no	5		Seed	6	Sunny generalist			1							
Castanea pumila	Chinquapin, Dwarf Chestnut	Woody Perennial	shrub	4	8	1	2	Southeast NA	4	5	Spring	Fall	no	no	Anisota senatoria			yes	yes	5	no	4		seed	6	Highland			1							
Ceanothus americanus	new jersey tea																																			
Celtis occidentalis	common hackberry	Woody Perennial	understory tree	2	9	1	2	Eastern NA	1	5	Spring		no	yes	Pachypsylla celtidismamma		yes	yes																		
Cephalanthus occidentalis	Buttonbush	Woody Perennial	undestory shrub	5	9	2	3	Eastern NA	1	4	Summer		no	yes																						
Cirsium discolor 	Pasture Thistle																																			
claytonia virginica	Spring beauty fairy spud	Herbaceous Perennial	herbacious flower	4	9	2	2		2	4	Early spring		no	no																						
Clethra alnifolia	Summersweet Sweetpepperbush	Woody Perennial	undestory shrub	4	9	2	3	Eastern NA	1	5	Late Summer		no	yes	Celama clethrae																					
Cornus stolonifera	red osier dogwood																																			
cucurbita pepo	field squash pumpkin summer squash winter squash	Herbaceous Annual	herbacious flower	3	11			Southern NA					yes	no	Peponapis pruinosa	no					no								1							
Cyperus esculentus	Nut sedge, Chufa, 	Herbaceous Perennial	grass	4	10	2	2	Unclear	5	5	Summer	Late Summer	no	no		no	yes	yes		9	no	5	120	tuber	9				0							
